Department,Date,Budget_Revenue,Actual_Revenue,Budget_COGS,Actual_COGS,Budget_Shipping,Actual_Shipping,Budget_Salary,Actual_Salary,Budget_Taxes,Actual_Taxes
Marketing,"Sunday,April 23,2023",178781,191334.59,226517,242175.75,29579,14233.9,55000,55000,46124,-22955.54
Operations,"Saturday,April 29,2023",291475,311283.9,186785,178177.72,27350,17272.15,52000,52000,26389$,13730.53
Sales,"Friday,May 05,2023",260196,223069.11,106178,113049.99,13837,17265.1,50000,50000,5822,8745.04
Operations,"Thursday,May 11,2023",326507,344939.69,99407,99254.52,5117,25083.62,52000,52000,22327,26340.17
HR,"Wednesday,May 17,2023",406063,358235.87,251412,267202.75,18917,33035.74,45000,45000,11150,2615.73
HR,"Tuesday,May 23,2023",339833,317329.16,100990,93582.21,23935,17422.68,45000,45000,9425,37207.89
HR,"Monday,May 29,2023",352377,365019.25,256744,273294.06,19309,27161.83,45000,45000,21032,3832.93
HR,"Monday,June 05,2023",266319,237074.5,179473,206367.64,n/a,13632.36,45000,45000,7198,-4333.92
HR,"Sunday,June 11,2023",221172,233224.05,246617,224927.78,10560,15447.31,45000,45000,25079,-11923.18
IT,"Saturday,June 17,2023",456902,483417.64,265863,304225.32,25673,41993.45,60000,60000,41220,13134.34
Marketing,"Friday,June 23,2023",418717,409030.79,108141,108327.76,5846,30186.84,55000,55000,46874,37901.13
HR,"Thursday,June 29,2023",159101,,204865,228975.23,15954,9320.94,45000,45000,18859,-24605.41
Sales,"Wednesday,July 05,2023",388790,358370.89,106570,116757.71,18703,24986.99,50000,50000,36419,30496.18
Sales,"Tuesday,July 11,2023",466329,468302.38,276156,287686.64,20385,34173.12,50000,50000,,21764.7
Sales,"Monday,July 17,2023",123049,134775.14,218964,237491.05,18746,12028.79,50000,50000,47880,-33268.31
Sales,"Sunday,July 23,2023",310677,313147.93,51015,57117.87,27700,29625.12,50000,50000,28236,30074.95
IT,"Saturday,July 29,2023",460260,421115.3,111813,111928.74,11469,41171.07,60000,60000,27419,49462.55
Sales,"Saturday,August 05,2023",459523,463429.6,77712,76294.4,14333,41405.2,50000,50000,24978,70371.37
HR,"Friday,August 11,2023",168385,165858.61,150497,160565,21608,10908.58,45000,45000,42609,-11998.68
Operations,"Thursday,August 17,2023",226131,236298.15,189487,208807.38,17819,19945.16,52000,52000,20358,-7729.71
Sales,"Wednesday,August 23,2023",296489,259945.3,292926,319456.68,9208,18684.91,50000,50000,39177,-25014.16
IT,"Tuesday,August 29,2023",123289,128252.24,162816,179008.61,11283,8045.72,60000,60000,34378,-29522.2
IT,"Monday,September 04,2023",472370,465434.02,178778,180368.38,7048,42840.21,60000,60000,42334,41401.85
Sales,"Sunday,September 10,2023",462937,504947.61,112292,124021.86,11233,26217.55,50000,50000,16382,46534.04
Operations,"Saturday,September 16,2023",n/a,347963.24,73833,68668.55,17941,33087.16,52000,52000,19596,30397.45
Sales,"Friday,September 22,2023",291232,293607.13,185230,191920.93,17607,21455.01,50000,50000,38572,5937.2
IT,"Friday,September 29,2023",404119,437663.72,243752,219727.72,14765,35827.18,60000,60000,18221,29418.7
Marketing,"Thursday,October 05,2023",109540,95916.23,70309,68983.43,6828,7957.95,55000,55000,6279,-7344.45
HR,"Wednesday,October 11,2023",116364,126174.31,56970,56492.33,6917,11955.76,45000,45000,12083,2542.46
IT,"Tuesday,October 17,2023",497827,508764.97,122474,122356.81,25618,41634.01,60000,60000,48861,45719.74
Sales,"Monday,October 23,2023",127663,110678.62,267776,287555.76,11988,8931.4,50000,50000,22771,-50858.72
HR,"Sunday,October 29,2023",151991,140628.29,96540,96263.85,23410,7500.07,45000,45000,34975,-1889.18
Sales,"Saturday,November 04,2023",288751,296559.7,201456,203908.41,19594,22514.93,50000,50000,24063,3786.48
Sales,"Friday,November 10,2023",466326,404228.93,68017,65254.56,25128,23246.58,50000,50000,7106,60469.33
Marketing,"Thursday,November 16,2023",262049,260880.95,125880,125038.23,17977,22663.17,55000,55000,29557,14338.21
HR,"Wednesday,November 22,2023",194704,182334.6,155570,148852.08,5009,13786.52,45000,45000,25607,-4311.21
HR,"Wednesday,November 29,2023",149115,149894.7,58702,53905.99,21644,,45000,45000,42599,7768.75
Marketing,"Tuesday,December 05,2023",453151,390360.36,181456,190685.24,27422,20331.39,55000,55000,33529,22221.94
IT,"Monday,December 11,2023",319295,340970.09,50404,53783.75,14865,18494.08,60000,60000,40954,47850.1
Sales,"Sunday,December 17,2023",,319223.15,222015,234197.54,7219,27394.51,50000,50000,32856,1585.43
Operations,"Saturday,December 23,2023",297459,324890.51,228998,232633,12041,17415.5,52000,52000,7573,4875.82
Sales,"Friday,December 29,2023",249143,258464.18,210261,209198.43,n/a,13844.07,50000,50000,17808,-3349.97
Sales,"Thursday,January 04,2024",290347,256237.49,error,,10287,12967.01,50000,50000,40367,23365.45
IT,"Wednesday,January 10,2024",111938,116366.92,199456,205393.89,6619,11383.6!,60000,60000,41801,-38740.6
Sales,"Tuesday,January 16,2024",453824,388539.93,241172,245946.11,13512,33754.57,50000,50000,46196,11962.19
Marketing,"Monday,January 22,2024",104000,88975.21,148142,134277.47,6342,6020.29,55000,55000,39072,-17627.8
Marketing,"Monday,January 29,2024",301660,280816.06,190932,188127.58,15568,18204.4,55000,55000,28752,4278.51
HR,"Sunday,February 04,2024",463186,,285365,283952.13,24216,30387.98,45000,45000,22685,20857.48
Operations,"Saturday,February 10,2024",455754,475169.97,130642,NA,24208,42163.1,52000,52000,46401,
Sales,"Friday,February 16,2024",351492,358811.41,100612,105143.88,23378,29805.94,50000,50000,16372,40982.29
Sales,"Thursday,February 22,2024",465835,447889.02,73574,76031.42,19231,26541.8,50000,50000,13996,71057.21
IT,"Wednesday,February 28,2024",138304,127019.32,73524,77345.5,8490!,7456.73,60000,60000,21458,-3159.85
Marketing,"Tuesday,March 05,2024",431593,474442.04,250244,273071.46,14310,26056.25,55000,55000,36889,29880.32
Operations,"Monday,March 11,2024",182986,175034.4,60916,67205.36,12984,14530.5,52000,52000,31665,6775.9
HR,"Sunday,March 17,2024",251836,242479.48,54809,59168,22988,21391.21,45000,45000,43243,19900.01!
Marketing,"Sunday,March 24,2024",208940,186145.89,213273.0$,242892.55,17219,11774.16,55000,55000,36653,-20803.68
HR,"Saturday,March 30,2024",400638,420150.03,234402,212030.24,5235,21447.5,45000,45000,31657,33916.2
IT,"Friday,April 05,2024",365517,374077.61,194528,184596.27,15161,20240.81,60000,60000,44952,23533.61
IT,"Thursday,April 11,2024",243233,,294820,265895.42,,21663.45,60000,60000,27180,-21045.53
Sales,"Wednesday,April 17,2024",197532,171970.42,237469,252160.89,13567,,50000,50000,36896,-27422.47
Operations,"Tuesday,April 23,2024",454802,463954.81,171288,192614.66,8530,,52000,52000,17875,37715.38
HR,"Monday,April 29,2024",485777$,492397.07,88765,85291.68,10256,39998.98,45000,45000,6622,51004.39
Marketing,"Sunday,May 05,2024",200386,184017.45,215888,244333.11,24019,12715.05,55000,55000,45809,-30502.25!
IT,"Saturday,May 11,2024",127350,138520.62,95106,87028.35,13162,8350.63,60000,60000,21725,-3883.5
Sales,"Friday,May 17,2024",193008,171345.65,103932,117818.25,23944,9607.23,50000,50000,45760,-1219.13
Sales,"Friday,May 24,2024",456441,437308.68,198172,195775.24,10415,35312.96,50000,50000,20646,38541.57
HR,"Thursday,May 30,2024",125351,136119.15,107091,99097.21,8391,12078.08,45000,45000,22029,-3846.29
IT,"Wednesday,June 05,2024",188668,180165.08,71949,73493.6,16157,14808.71,60000,60000,34402,7915.06
Operations,"Tuesday,June 11,2024",214585,error,251152,242159.29,10951,16577.13,52000,52000,9263,-20396.8
IT,"Monday,June 17,2024",437497,415359.04,87744,85218.57,26852,21639.19,60000,60000,35987,53046.85
HR,"Sunday,June 23,2024",307869,282794.24,226615,221362.63,13007,27833.86,45000,45000,13646,-1899.56
HR,"Saturday,June 29,2024",165953,181883.56,158319,174270.66,14064,16357.83,45000,45000,32529,-12801.65
IT,"Friday,July 05,2024",419602,399601.04,142193,147139.94,27797,25830.65,60000,60000,16664,32117.85
HR,"Thursday,July 11,2024",382502,410625.38,86187,84275.97,28325,40651.3,45000,45000,40737,40009.64
IT,"Wednesday,July 17,2024",103267,93713.63,293806,309255.33,26204,7505.91,60000,60000,40796,-42813.99
Marketing,"Wednesday,July 24,2024",182745,165069.2,188311,203194.66,20524,13060.46,55000,55000,29027,-21871.71
IT,"Tuesday,July 30,2024",451732,387488.27,174454,168898.69,24282,33867.89,60000,60000,34373,25286.07
IT,"Monday,August 05,2024",400657,405832.17,64489,64707.44,28930,36763.72,60000,60000,41397,54232.35
HR,"Sunday,August 11,2024",257164,242282.33,296009,275427.95,5077,20066.77,45000,45000,25609,-23475.3
HR,"Saturday,August 17,2024",111338,118696.28,239089,error,12577,6695.04,45000,45000,40835,-25113.6
Sales,"Friday,August 23,2024",231484,224146.53,111877,119739.66,25611,14998.4,50000,50000,43709?,8793.99
Sales,"Thursday,August 29,2024",107543,117442.16$,224197,211946.78,21984,11321.92,50000,50000,24250,-26294.36
Marketing,"Wednesday,September 04,2024",468035,,99922,103048.64,19060,25688.63,55000,55000,26172,55605.95
Sales,"Tuesday,September 10,2024",160692,171483.4,144074,155205.38,22449,11765.19,50000,50000,16555,-10548.76
IT,"Tuesday,September 17,2024",320156,334290.64,213121,197503.33,23520,23936.49,60000,60000,26874,10785.76
HR,"Monday,September 23,2024",323992,337836.33,87131,90775.52,15535,24314.16,45000,45000,18081,39286.33
Sales,"Sunday,September 29,2024",406569,431449.32,224016,215982.94,14510,34795.08,50000,50000,29063,23708.35
Sales,"Saturday,October 05,2024",138756,144341.76,165765,189093.39,11943,14023.35,50000,50000,11819,-21441.37
Marketing,"Friday,October 11,2024",118888,119667.32,123963,126552.14,16954,7423.52,55000,55000,30712,-16090.88
Marketing,"Thursday,October 17,2024",266807,235540.21,156884,172807.43,12804,13207.93,55000,55000,29762,-1072.73
IT,"Wednesday,October 23,2024",409439,351352.52,175917,182523.85,11565,21036.71,60000,60000,16046,16309.98
HR,"Tuesday,October 29,2024",,231545.59,74285,67662.73,10984,21845.46,45000,45000,36463,19351.32
Marketing,"Monday,November 04,2024",445186,447039.12,87626,92733.53,26526,36787.09,55000,55000,33769,61120.85
Sales,"Sunday,November 10,2024",185999,195137.93,223880,254742.05,9670,12546.46,50000,50000,28150,-22417.17
HR,"Sunday,November 17,2024",117955,114461.24,269536,283121.41,23574,10392.78,45000,45000,7711,-37501.12
HR,"Saturday,November 23,2024",399985,351717.63,234943,259564.37,14184,32733.83,45000,45000,9853,3189.6
Sales,"Friday,November 29,2024",170640,150384.43,69198,77574.53,24096,13884.35,50000,50000,34077,2076.06
Marketing,"Thursday,December 05,2024",296582,,200830,192198.32,error,29064.66,55000,55000,28863,4267.83
Sales,"Wednesday,December 11,2024",319798,306231.04,65254,62187.79,6248,19173.75,50000,50000,26792,30425.09
HR,"Tuesday,December 17,2024",161476,145349.58,94238,99208.61,16246,12754.73,45000,45000,45483!,-1906.95
Operations,"Monday,December 23,2024",406955,395925.96,51252,51393.31,17790,28913.28,52000,52000,13942,48715.32
Operations,"Sunday,December 29,2024",267280,231478.44,89764,99634.93,25417,21319.15,52000,52000,6762,11414.3
IT,"Saturday,January 04,2025",251222,250089.7,127709,143673.36,23381,21613.89,60000,60000,36987,5577.64
Sales,"Friday,January 10,2025",171180,157014.57,218513,215968.49,8687,13946.41,50000,50000,20850,-26437.67
Sales,"Friday,January 17,2025",274358,287908.48,273306,262159.94,9018,23841.15,50000,50000,17112,-10200.1
IT,"Thursday,January 23,2025",212856,197443.2,103682,113545.41,16302,11623.77,60000,60000,29058,2273.61
IT,"Wednesday,January 29,2025",430594,415008.67,109494,106067,6970,32059.98,60000,60000,43890,50781.71
IT,"Tuesday,February 04,2025",286141,244051.13,131317,145191.11,13389,24218.04,60000,60000,5481,2886.35
HR,"Monday,February 10,2025",474032,411512.74,115215,115898.75,27149,39862.99,45000,45000,37921,52247.38
Sales,"Sunday,February 16,2025",210448,199530.67,128587,137187.86,NA,10407.26,50000,50000,45385,413.07
HR,"Saturday,February 22,2025",114397,110963.34,286257,264468.21,29519,6462.59,45000,45000,6524,-33333.14
IT,"Friday,February 28,2025",278031,278032.43,56949,60136.14,26951,15732.87,60000,60000,39888,30937.28
Sales,"Thursday,March 06,2025",493944,455868.65,288897,n/a,29051,39341.01,50000,50000,20048,13486.01
HR,"Thursday,March 13,2025",219180,224384.53,105393,110309.81,20374,20394.15,45000,45000,40111,10643.17
